"Chromosome","Start","End","Gene"
"3",73661961,100110591,"Gene_111"
"16",286375655,286375655,"Gene_112"
"2",37092090,37092090,"Gene_113"
"5",112439057,196465846,"Gene_114"
"16",223117852,252368496,"Gene_115"
"9",224471564,224471564,"Gene_116"
"3",115983,29024000,"Gene_117"
"8",17658435,97644611,"Gene_118"
"3",25180608,103596626,"Gene_119"
"8",113025721,113025721,"Gene_120"
"X",230396997,230396997,"Gene_121"
"4",60771571,206023266,"Gene_122"
"Y",172319577,172319577,"Gene_123"
"X",53168189,53168189,"Gene_124"
"7",21208495,118619265,"Gene_125"
"17",242507481,242507481,"Gene_126"
"3",281648020,281648020,"Gene_127"
"2",212194441,285075439,"Gene_128"
"5",157309325,157309325,"Gene_129"
"15",272502402,272502402,"Gene_130"
"15",290037690,290037690,"Gene_131"
"10",197451076,257432071,"Gene_132"
"17",20260534,118909527,"Gene_133"
"3",112910243,112910243,"Gene_134"
"16",198606193,198606193,"Gene_135"
"9",20937642,184689505,"Gene_136"
"Y",68221449,68221449,"Gene_137"
"12",144874543,246223932,"Gene_138"
"5",264234524,264234524,"Gene_139"
"17",98566717,242268333,"Gene_140"
"3",159594390,159594390,"Gene_141"
"15",188165851,202476147,"Gene_142"
"5",122176596,127582739,"Gene_143"
"6",280824796,280824796,"Gene_144"
"18",26255610,237143874,"Gene_145"
"X",145118034,145118034,"Gene_146"
"18",273352167,273352167,"Gene_147"
"11",83123719,199492908,"Gene_148"
"16",164255468,164255468,"Gene_149"
"6",5065651,126887749,"Gene_150"
"7",48781481,229846436,"Gene_151"
"8",50133181,50133181,"Gene_152"
"4",271475599,284092679,"Gene_153"
"11",39485642,233024156,"Gene_154"
"15",187230986,187230986,"Gene_155"
"17",233186934,233186934,"Gene_156"
"11",217658818,217658818,"Gene_157"
"7",124284018,285478674,"Gene_158"
"10",278057418,278057418,"Gene_159"
"11",181249706,227654944,"Gene_160"
"3",75993804,163947945,"Gene_161"
"18",153084349,153084349,"Gene_162"
"11",147428663,147428663,"Gene_163"
"1",135916357,135916357,"Gene_164"
"8",40253852,159642432,"Gene_165"
"8",15951092,120930478,"Gene_166"
"10",112088266,112088266,"Gene_167"
"5",260868083,260868083,"Gene_168"
"Y",32817796,193270748,"Gene_169"
"12",211981982,245915549,"Gene_170"
"10",72677663,72677663,"Gene_171"
"Y",142219185,248348280,"Gene_172"
"1",221029884,221029884,"Gene_173"
"6",4012104,149469845,"Gene_174"
"3",14489057,147740802,"Gene_175"
"4",174019670,174019670,"Gene_176"
"4",227444332,227444332,"Gene_177"
"11",48828961,48828961,"Gene_178"
"3",18101936,18101936,"Gene_179"
"1",23745591,274249191,"Gene_180"
"X",186374766,285084595,"Gene_181"
"1",169742809,169742809,"Gene_182"
"12",223575678,233584136,"Gene_183"
"X",53135973,229871804,"Gene_184"
"10",259332986,285680749,"Gene_185"
"13",54124041,204934411,"Gene_186"
"12",75882107,75882107,"Gene_187"
"1",83103397,219603163,"Gene_188"
"13",53304974,53304974,"Gene_189"
"10",279159140,279159140,"Gene_190"
"13",204474912,204474912,"Gene_191"
"8",13521254,233548168,"Gene_192"
"18",72691678,145245305,"Gene_193"
"2",136632174,199866250,"Gene_194"
"6",266484800,266484800,"Gene_195"
"14",206572629,234616013,"Gene_196"
"6",129650785,199962564,"Gene_197"
"5",148887991,148887991,"Gene_198"
"11",263361281,263361281,"Gene_199"
"14",74802637,74802637,"Gene_200"
"9",273190308,273190308,"Gene_201"
"Y",155167253,206765467,"Gene_202"
"Y",49334514,230356341,"Gene_203"
"1",6054665,22070371,"Gene_204"
"1",45026753,133142650,"Gene_205"
"15",27778019,83275738,"Gene_206"
"6",228708391,228708391,"Gene_207"
"10",279237685,279237685,"Gene_208"
"2",103861922,103861922,"Gene_209"
"11",206731728,206731728,"Gene_210"
"18",263131132,263131132,"Gene_211"
"12",63001292,79212238,"Gene_212"
"11",23690210,91351151,"Gene_213"
"X",175528186,219829419,"Gene_214"
"5",219964788,219964788,"Gene_215"
"2",116794621,173396462,"Gene_216"
"6",265620722,265620722,"Gene_217"
"2",137272063,291738431,"Gene_218"
"5",158832870,158832870,"Gene_219"
"13",252926987,272816242,"Gene_220"
"Y",224750164,224750164,"Gene_221"
"5",74577743,241692574,"Gene_222"
"9",187300787,187300787,"Gene_223"
"6",289237831,289237831,"Gene_224"
"15",243970122,243970122,"Gene_225"
"Y",17128661,93148578,"Gene_226"
"9",358086,168935926,"Gene_227"
"2",197875275,197875275,"Gene_228"
"11",224263754,224263754,"Gene_229"
"12",278213457,278213457,"Gene_230"
"5",232500481,237489352,"Gene_231"
"X",246615306,246615306,"Gene_232"
"7",99556981,207169075,"Gene_233"
"Y",5744802,98621616,"Gene_234"
"6",104873934,234147669,"Gene_235"
"5",110502978,248588049,"Gene_236"
"15",288269186,288269186,"Gene_237"
"4",46662769,177157327,"Gene_238"
"13",173582902,173582902,"Gene_239"
"2",198410771,198410771,"Gene_240"
"10",224876458,224876458,"Gene_241"
"4",203927625,203927625,"Gene_242"
"18",149495555,149495555,"Gene_243"
"Y",135938327,189403504,"Gene_244"
"10",98567037,228254248,"Gene_245"
"2",106250929,110366298,"Gene_246"
"17",71254670,187145493,"Gene_247"
"4",161178076,164364086,"Gene_248"
"10",125264536,197523333,"Gene_249"
"X",225302314,225302314,"Gene_250"
"13",187559939,229760927,"Gene_251"
"14",208409774,208409774,"Gene_252"
"9",166209914,166209914,"Gene_253"
"13",210528359,210528359,"Gene_254"
"15",170843231,170843231,"Gene_255"
"X",150318142,253255488,"Gene_256"
"10",163010681,163010681,"Gene_257"
"13",44291529,70051033,"Gene_258"
"1",230180988,239007947,"Gene_259"
"6",30867494,80211236,"Gene_260"
"3",122952313,134283975,"Gene_261"
"15",270537950,270537950,"Gene_262"
"X",35371844,158591524,"Gene_263"
"1",248257184,248257184,"Gene_264"
"17",25418444,45924928,"Gene_265"
"18",154135678,197427306,"Gene_266"
"15",11301851,72121244,"Gene_267"
"15",88050611,232313006,"Gene_268"
"4",73745536,122464734,"Gene_269"
"14",268223054,268223054,"Gene_270"
"14",179203088,179203088,"Gene_271"
"17",43188085,185005500,"Gene_272"
"10",203946953,282533967,"Gene_273"
"16",6756451,208355990,"Gene_274"
"10",141263406,241819857,"Gene_275"
"17",45964530,57724079,"Gene_276"
"14",235718020,235718020,"Gene_277"
"6",44175777,275925865,"Gene_278"
"15",203090517,213210646,"Gene_279"
"7",291122839,291122839,"Gene_280"
"5",104152901,211406786,"Gene_281"
"6",140669454,140669454,"Gene_282"
"13",55352695,96384943,"Gene_283"
"11",50362801,60398687,"Gene_284"
"Y",103199077,107547129,"Gene_285"
"8",172188903,172188903,"Gene_286"
"16",7638563,50893283,"Gene_287"
"X",234755984,234755984,"Gene_288"
"18",90859073,90859073,"Gene_289"
"16",104624026,104624026,"Gene_290"
"12",183673199,208953707,"Gene_291"
"15",89251286,235080546,"Gene_292"
"8",74819977,223756308,"Gene_293"
"4",100387034,108034517,"Gene_294"
"13",85452894,85452894,"Gene_295"
"14",120203947,120203947,"Gene_296"
"9",169462642,259811342,"Gene_297"
"X",117938831,229007211,"Gene_298"
"1",159751117,159751117,"Gene_299"
"4",95891610,163868304,"Gene_300"
"14",256295258,256295258,"Gene_301"
"10",273032891,273032891,"Gene_302"
"13",294414583,294414583,"Gene_303"
"13",204453232,204453232,"Gene_304"
"10",279130819,279130819,"Gene_305"
"X",265261840,265261840,"Gene_306"
"11",76591271,173341455,"Gene_307"
"15",267106410,267106410,"Gene_308"
"15",90693528,90693528,"Gene_309"
"11",12859190,96712249,"Gene_310"
"4",200404682,200404682,"Gene_311"
"17",176002051,249288946,"Gene_312"
"14",270956438,278148808,"Gene_313"
"14",278357375,278357375,"Gene_314"
"18",161632268,161632268,"Gene_315"
"8",191975379,239205729,"Gene_316"
"13",161290532,244818714,"Gene_317"
"Y",261049444,261049444,"Gene_318"
"11",18138570,217051855,"Gene_319"
"3",214232623,214232623,"Gene_320"
"11",57483065,57483065,"Gene_321"
"10",26481966,170039395,"Gene_322"
"10",32514348,182176792,"Gene_323"
"18",31526908,292597062,"Gene_324"
"3",200472701,201253945,"Gene_325"
"4",286311705,286311705,"Gene_326"
"15",132369398,197458213,"Gene_327"
"2",98269165,147605556,"Gene_328"
"15",13679213,24218578,"Gene_329"
"18",255375456,255375456,"Gene_330"
"15",70327731,249215568,"Gene_331"
"6",75078483,75078483,"Gene_332"
"8",168844486,234353712,"Gene_333"
"9",259135210,272159131,"Gene_334"
"X",282930005,282930005,"Gene_335"
"8",127540116,158224052,"Gene_336"
"12",43403052,73610497,"Gene_337"
"3",54738549,54738549,"Gene_338"
"15",186128205,266351103,"Gene_339"
"17",233624129,233624129,"Gene_340"
"3",24646668,243784343,"Gene_341"
"Y",109714737,109714737,"Gene_342"
"11",241165276,241165276,"Gene_343"
"Y",204058339,204058339,"Gene_344"
"7",103225921,103225921,"Gene_345"
"4",13630322,244093650,"Gene_346"
"13",291208078,291208078,"Gene_347"
"16",139115352,139115352,"Gene_348"
"17",267203335,267203335,"Gene_349"
"11",145604493,195684658,"Gene_350"
"4",18909423,161804222,"Gene_351"
"15",143617991,204291888,"Gene_352"
"18",213366055,286687588,"Gene_353"
"7",136661077,136661077,"Gene_354"
"2",34318225,255658129,"Gene_355"
"5",256716223,256716223,"Gene_356"
"X",72228581,193566537,"Gene_357"
"15",91724560,133991138,"Gene_358"
"9",182911525,280804339,"Gene_359"
"7",254381576,254381576,"Gene_360"
"16",73509665,285651570,"Gene_361"
"12",106034541,106034541,"Gene_362"
"11",26605565,139981591,"Gene_363"
"7",266811984,266811984,"Gene_364"
"7",84156178,117453271,"Gene_365"
"5",195067877,226666991,"Gene_366"
"6",228499513,228499513,"Gene_367"
"1",164271525,164271525,"Gene_368"
"6",131676219,160844370,"Gene_369"
"13",37386955,72199093,"Gene_370"
"10",100133550,100133550,"Gene_371"
"14",90636530,220161267,"Gene_372"
"Y",242023978,242023978,"Gene_373"
"6",272917953,272917953,"Gene_374"
"2",166597999,266962789,"Gene_375"
"Y",9999532,159478997,"Gene_376"
"10",127598948,197133540,"Gene_377"
"15",35874604,206162928,"Gene_378"
"1",112132293,285766867,"Gene_379"
"1",92895353,92895353,"Gene_380"
"17",283269422,283269422,"Gene_381"
"Y",219083937,219083937,"Gene_382"
"X",195323507,273193270,"Gene_383"
"16",127601454,287673847,"Gene_384"
"17",61015819,258237186,"Gene_385"
"6",185697339,204559708,"Gene_386"
"13",190199843,190199843,"Gene_387"
"11",132635395,285860312,"Gene_388"
"17",14383115,242178710,"Gene_389"
"15",90490385,211762015,"Gene_390"
"6",35611440,136082406,"Gene_391"
"9",215805056,215805056,"Gene_392"
"1",91015252,241383245,"Gene_393"
"3",47908933,252853432,"Gene_394"
"6",112133777,265286195,"Gene_395"
"Y",115479603,115479603,"Gene_396"
"18",281451253,281451253,"Gene_397"
"17",237172279,237172279,"Gene_398"
"18",149055544,216129212,"Gene_399"
"2",79082257,279263404,"Gene_400"
"1",65958632,85066569,"Gene_401"
"11",185663964,185663964,"Gene_402"
"7",24526808,129118776,"Gene_403"
"5",286910786,287161935,"Gene_404"
"Y",24569054,24569054,"Gene_405"
"Y",136620502,151420100,"Gene_406"
"11",197433099,197433099,"Gene_407"
"14",22274329,109206694,"Gene_408"
"7",86388826,198195645,"Gene_409"
"14",200603522,200603522,"Gene_410"
"14",178819599,178819599,"Gene_411"
"7",59370039,174369237,"Gene_412"
"7",223194629,223194629,"Gene_413"
"13",102978155,155201092,"Gene_414"
"7",210321374,210321374,"Gene_415"
"13",256625428,256625428,"Gene_416"
"1",92147745,125961604,"Gene_417"
"3",13825529,191343141,"Gene_418"
"15",96535985,106137465,"Gene_419"
"10",158515370,158515370,"Gene_420"
"X",40777729,145851389,"Gene_421"
"1",265523325,265523325,"Gene_422"
"13",114084025,158330229,"Gene_423"
"17",261110025,261110025,"Gene_424"
"8",229902502,229902502,"Gene_425"
"15",112224829,172374525,"Gene_426"
"16",50808857,138584755,"Gene_427"
"10",166647166,166647166,"Gene_428"
"2",198978067,198978067,"Gene_429"
"1",264578706,264578706,"Gene_430"
"14",180706599,180706599,"Gene_431"
"12",72776095,72776095,"Gene_432"
"X",76128074,146527520,"Gene_433"
"15",108129100,108129100,"Gene_434"
"2",168299511,255839308,"Gene_435"
"7",255711415,291267939,"Gene_436"
"14",193422036,193422036,"Gene_437"
"15",145621530,145621530,"Gene_438"
"1",277559026,277559026,"Gene_439"
"8",183989085,183989085,"Gene_440"
"X",70145258,156204505,"Gene_441"
"15",212027248,212027248,"Gene_442"
"X",225858020,230301001,"Gene_443"
"7",50617115,228365228,"Gene_444"
"3",92123009,92123009,"Gene_445"
"1",134755347,134755347,"Gene_446"
"9",80488503,80958685,"Gene_447"
"7",131949662,165186758,"Gene_448"
"7",93357693,150929326,"Gene_449"
"11",167180114,174988955,"Gene_450"
"6",75493742,211359295,"Gene_451"
"3",210283356,210283356,"Gene_452"
"3",33760146,239253557,"Gene_453"
"7",47631295,198049663,"Gene_454"
"11",33657666,72284595,"Gene_455"
"12",155826360,186153144,"Gene_456"
"12",158795416,158795416,"Gene_457"
"Y",33834193,33834193,"Gene_458"
"9",69175344,109733004,"Gene_459"
"2",92953145,283933935,"Gene_460"
"14",13904200,84199796,"Gene_461"
"8",108647406,108647406,"Gene_462"
"5",279494545,279494545,"Gene_463"
"4",130282593,130282593,"Gene_464"
"13",206905244,206905244,"Gene_465"
"7",263217902,263217902,"Gene_466"
"13",290482153,290482153,"Gene_467"
"12",242119952,242119952,"Gene_468"
"Y",93348587,101838240,"Gene_469"
"13",113306186,113306186,"Gene_470"
"14",156709910,156709910,"Gene_471"
"9",173269628,173269628,"Gene_472"
"5",130663780,141725341,"Gene_473"
"11",181357402,181357402,"Gene_474"
"2",243064177,243064177,"Gene_475"
"5",216213341,294770388,"Gene_476"
"1",288215462,288215462,"Gene_477"
"7",262898400,262898400,"Gene_478"
"9",244662356,244662356,"Gene_479"
"4",229843452,229843452,"Gene_480"
"16",284263086,284263086,"Gene_481"
"17",288835651,294649063,"Gene_482"
"5",292539600,292539600,"Gene_483"
"2",33653091,294470781,"Gene_484"
"6",117699027,169482063,"Gene_485"
"18",183309804,183309804,"Gene_486"
"4",76439836,120470584,"Gene_487"
"10",190000359,190000359,"Gene_488"
"14",142449351,142449351,"Gene_489"
"6",98464335,98464335,"Gene_490"
"16",260315915,260315915,"Gene_491"
"12",10807479,179388467,"Gene_492"
"4",248581322,248581322,"Gene_493"
"6",255686882,255686882,"Gene_494"
"3",110223836,110223836,"Gene_495"
"1",80305692,80305692,"Gene_496"
"1",202459495,202459495,"Gene_497"
"16",40080197,149484759,"Gene_498"
"11",123740730,248701171,"Gene_499"
"11",221127505,221127505,"Gene_500"
"3",76425044,113984356,"Gene_501"
"17",293151878,293151878,"Gene_502"
"6",233932108,233932108,"Gene_503"
"18",186791866,186791866,"Gene_504"
"17",110984869,110984869,"Gene_505"
"1",243832539,243832539,"Gene_506"
"Y",293076311,293076311,"Gene_507"
"16",81792297,140222960,"Gene_508"
"10",6633938,181091640,"Gene_509"
"5",96611774,96611774,"Gene_510"
"11",121994686,178324215,"Gene_511"
"7",69976394,290541063,"Gene_512"
"16",199426293,199426293,"Gene_513"
"1",194308418,228436821,"Gene_514"
"2",217319540,217319540,"Gene_515"
"8",56453863,268342803,"Gene_516"
"12",147977813,236152856,"Gene_517"
"12",200402776,213909240,"Gene_518"
"17",290481461,290481461,"Gene_519"
"7",279318586,279318586,"Gene_520"
"8",244511304,244511304,"Gene_521"
"X",56389882,285407625,"Gene_522"
"11",213159590,290554027,"Gene_523"
"1",200415226,200415226,"Gene_524"
"8",206477436,206477436,"Gene_525"
"14",172919470,289099113,"Gene_526"
"18",208638354,208638354,"Gene_527"
"X",3545124,199494989,"Gene_528"
"10",6124559,210544544,"Gene_529"
"9",115175588,166585146,"Gene_530"
"16",71061691,221394871,"Gene_531"
"X",270054633,270054633,"Gene_532"
"4",24668240,75071575,"Gene_533"
"1",28760207,94707317,"Gene_534"
"7",173215542,217173132,"Gene_535"
"13",280525353,280525353,"Gene_536"
"15",125682136,173278994,"Gene_537"
"17",53470449,59876196,"Gene_538"
"2",152153543,191944543,"Gene_539"
"13",174186191,246062138,"Gene_540"
"17",241903985,264928696,"Gene_541"
"12",131518820,166902110,"Gene_542"
"5",120136397,262460123,"Gene_543"
"11",80809830,80809830,"Gene_544"
"X",151584440,268657045,"Gene_545"
"3",271417747,271417747,"Gene_546"
"17",151964769,151964769,"Gene_547"
"14",7814706,179274083,"Gene_548"
"10",289502859,294292066,"Gene_549"
"15",54410092,202398045,"Gene_550"
"X",233207920,233207920,"Gene_551"
"11",278241662,278241662,"Gene_552"
"9",7759313,253234769,"Gene_553"
"10",203327655,203327655,"Gene_554"
"3",211646492,211646492,"Gene_555"
"1",41167751,72367103,"Gene_556"
"1",19597530,104421625,"Gene_557"
"16",273758955,273758955,"Gene_558"
"16",245408979,261815367,"Gene_559"
"14",124842514,135035841,"Gene_560"
"7",179073751,179073751,"Gene_561"
"12",12925455,24505110,"Gene_562"
"X",208628371,232822365,"Gene_563"
"6",35138772,263752202,"Gene_564"
"X",229691620,229691620,"Gene_565"
"8",185006185,185006185,"Gene_566"
"X",220753813,220753813,"Gene_567"
"14",226141247,226141247,"Gene_568"
"X",162390064,162390064,"Gene_569"
"5",286782721,286782721,"Gene_570"
"10",243514920,281908986,"Gene_571"
"X",102196580,233184178,"Gene_572"
"5",114656931,210288939,"Gene_573"
"10",109043905,109043905,"Gene_574"
"6",205120770,205120770,"Gene_575"
"11",100608669,100608669,"Gene_576"
"6",26301631,53161685,"Gene_577"
"12",23236101,202154189,"Gene_578"
"1",278792331,278792331,"Gene_579"
"16",221141119,221141119,"Gene_580"
"3",209416230,209416230,"Gene_581"
"1",69635875,69635875,"Gene_582"
"5",9470513,290237633,"Gene_583"
"9",165784627,165784627,"Gene_584"
"9",235915847,235915847,"Gene_585"
"2",285302730,285302730,"Gene_586"
"16",265799708,265799708,"Gene_587"
"1",20989297,168979599,"Gene_588"
"4",260863918,260863918,"Gene_589"
"2",94306659,94306659,"Gene_590"
"7",156239868,156239868,"Gene_591"
"X",196703154,196703154,"Gene_592"
"Y",292374242,292374242,"Gene_593"
"16",71214919,113013332,"Gene_594"
"14",122456027,122456027,"Gene_595"
"3",137964499,137964499,"Gene_596"
"4",93000022,165334504,"Gene_597"
"4",13563680,188438516,"Gene_598"
"10",69823318,86865430,"Gene_599"
"3",153743162,255388715,"Gene_600"
"2",129593398,294116589,"Gene_601"
"9",229239366,239307911,"Gene_602"
"18",241917615,277220767,"Gene_603"
"3",124912592,124912592,"Gene_604"
"11",247619296,247619296,"Gene_605"
"11",162378858,162378858,"Gene_606"
"1",4203562,121012346,"Gene_607"
"6",188233581,188233581,"Gene_608"
"16",153204819,153204819,"Gene_609"
"11",89080683,284984065,"Gene_610"
"X",76313064,283896207,"Gene_611"
"2",242073647,263784129,"Gene_612"
"18",49437094,192825578,"Gene_613"
"Y",264242761,291436646,"Gene_614"
"2",13074911,207646335,"Gene_615"
"7",150073705,273533899,"Gene_616"
"1",169926935,169926935,"Gene_617"
"9",185185398,189591198,"Gene_618"
"Y",244902532,244902532,"Gene_619"
"3",181075465,181075465,"Gene_620"
"5",89923721,89923721,"Gene_621"
"Y",192706879,192706879,"Gene_622"
"5",23543319,50742216,"Gene_623"
"5",99881369,177727968,"Gene_624"
"18",20060052,68978693,"Gene_625"
"1",152343315,152577625,"Gene_626"
"17",180645241,180645241,"Gene_627"
"5",131835230,131835230,"Gene_628"
"17",229575210,229575210,"Gene_629"
"9",173381186,173381186,"Gene_630"
"8",221328783,221328783,"Gene_631"
"3",79231742,161251717,"Gene_632"
"16",135713244,160827256,"Gene_633"
"4",127030080,127030080,"Gene_634"
"9",105958919,105958919,"Gene_635"
"Y",80020995,80020995,"Gene_636"
"1",150001371,150001371,"Gene_637"
"1",118821101,263464142,"Gene_638"
"18",160898855,247396201,"Gene_639"
"16",155010652,167374577,"Gene_640"
"11",261229003,261229003,"Gene_641"
"18",290573136,290573136,"Gene_642"
"X",9046524,130361723,"Gene_643"
"17",33126906,33126906,"Gene_644"
"8",207964204,207964204,"Gene_645"
"7",100366125,100366125,"Gene_646"
"17",17803719,147362609,"Gene_647"
"13",292336630,292336630,"Gene_648"
"8",113147514,113147514,"Gene_649"
"13",178152457,178152457,"Gene_650"
"3",90482858,161731237,"Gene_651"
"7",84775230,219068118,"Gene_652"
"2",262145838,262145838,"Gene_653"
"9",90501462,265259388,"Gene_654"
"1",38978929,65899820,"Gene_655"
"2",19687168,19687168,"Gene_656"
"13",129539839,249689331,"Gene_657"
"16",5325889,156146907,"Gene_658"
"Y",217128269,250825960,"Gene_659"
"17",96768092,279068145,"Gene_660"
"13",199857305,199857305,"Gene_661"
"X",138109358,138109358,"Gene_662"
"18",157129586,157129586,"Gene_663"
"X",223162892,223162892,"Gene_664"
"1",205953374,205953374,"Gene_665"
"13",24139586,31788915,"Gene_666"
"9",279582321,279582321,"Gene_667"
"13",44382856,265508710,"Gene_668"
"3",157573053,271027793,"Gene_669"
"12",53803695,125120912,"Gene_670"
"17",295354517,295354517,"Gene_671"
"12",209583440,209583440,"Gene_672"
"5",149773433,170866010,"Gene_673"
"X",282224580,291729355,"Gene_674"
"6",247464010,247464010,"Gene_675"
"7",224732400,224732400,"Gene_676"
"18",98493612,220025301,"Gene_677"
"10",116311759,199891880,"Gene_678"
"15",20508388,91791395,"Gene_679"
"9",191847535,191847535,"Gene_680"
"8",24649620,114147477,"Gene_681"
"16",291211098,291211098,"Gene_682"
"8",113711607,200042362,"Gene_683"
"16",3274627,172804983,"Gene_684"
"17",230429096,251161470,"Gene_685"
"11",91885841,179312773,"Gene_686"
"7",105433888,130857316,"Gene_687"
"4",252727401,252727401,"Gene_688"
"17",164019561,212439896,"Gene_689"
"X",41514226,169082203,"Gene_690"
"18",36478855,266228885,"Gene_691"
"X",21869688,21869688,"Gene_692"
"11",100960020,142063800,"Gene_693"
"18",208435855,208435855,"Gene_694"
"16",266939993,266939993,"Gene_695"
"6",160031458,160031458,"Gene_696"
"2",262152973,262152973,"Gene_697"
"11",98360953,191364607,"Gene_698"
"X",256904173,256904173,"Gene_699"
"11",241052607,241052607,"Gene_700"
"7",149176024,153388092,"Gene_701"
"8",90780195,255264518,"Gene_702"
"2",20164574,46614967,"Gene_703"
"3",30271426,58400691,"Gene_704"
"14",148479638,291281359,"Gene_705"
"6",238775291,238775291,"Gene_706"
"14",263577866,263577866,"Gene_707"
"7",119741337,208787317,"Gene_708"
"6",32912748,257496396,"Gene_709"
"6",199408423,199408423,"Gene_710"
"11",278468871,278468871,"Gene_711"
"11",40465824,195819998,"Gene_712"
"5",259872978,259872978,"Gene_713"
"12",250215742,250215742,"Gene_714"
"5",218390550,218390550,"Gene_715"
"6",19434294,204288529,"Gene_716"
"15",24501885,184710034,"Gene_717"
"X",212191034,232900523,"Gene_718"
"8",110070363,110070363,"Gene_719"
"8",185477080,194631696,"Gene_720"
"15",90741044,128867298,"Gene_721"
"3",195210478,195210478,"Gene_722"
"4",185090079,185090079,"Gene_723"
"1",181431922,184613529,"Gene_724"
"13",20149656,86040958,"Gene_725"
"10",144772406,241369190,"Gene_726"
"15",215916931,215916931,"Gene_727"
"8",250567640,250567640,"Gene_728"
"4",282683892,282683892,"Gene_729"
"8",56825520,272694591,"Gene_730"
"Y",90010790,287800024,"Gene_731"
"1",13312860,173395780,"Gene_732"
"10",192811345,238182069,"Gene_733"
